#
#   VizieR Astronomical Server: vizier.u-strasbg.fr 	2009-02-22T01:01:30
#   (replaces the 'Astrores' format originally described at
#    http://vizier.u-strasbg.fr/doc/astrores.htx)
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	-ref=VOTx29231	
#INFO	-out.max=50000	

#RESOURCE=yCat_5085
#Name: V/85A
#Title: Stellar Mass Catalogue (Belikov 1995)
#Table	V_85A_catalog:
#Name: V/85A/catalog
#Title: The catalogue
#Column	_RAJ2000	(F8.4)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DEJ2000	(F8.4)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec;meta.main]
#Column	Name	(a12)	Principal name of the system	[ucd=meta.id;meta.main]
#Column	OtherID	(a12)	Secondary identifier of the system	[ucd=meta.id]
#Column	M1	(F7.4)	Mass of primary component	[ucd=phys.mass]
#Column	e_M1	(F7.4)	? Mean error on M1	[ucd=stat.error]
#Column	M2	(F7.4)	Mass of secondary component	[ucd=phys.mass]
#Column	e_M2	(F7.4)	? Mean error on M2	[ucd=stat.error]
#Column	Method	(A2)	Method of mass determination (1)	[ucd=meta.code;obs]
#Column	n_Name	(A2)	Individual note explained in (5)	[ucd=meta.note]
#Column	AAAref	(a10)	Reference from AAA (2)	[ucd=meta.ref]
#Column	System	(a5)	Type of system (3)	[ucd=src.class]
#Column	Sp	(a20)	Spectral types of the two stars (4)	[ucd=src.spType]
#Column	_RA	(F8.4)	Position (derived from SIMBAD) (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F8.4)	Position (derived from SIMBAD) (declination part)	[ucd=pos.eq.dec;meta.main]
_RAJ2000|_DEJ2000|Name|OtherID|M1|e_M1|M2|e_M2|Method|n_Name|AAAref|System|Sp|_RA|_DE
227.9598|+61.8570|Dra BV      |            | 1.0400| 0.0200| 0.4300| 0.0100|S0|  |42.117.126|W    |                    |227.9598|+61.8570
227.9588|+61.8615|Dra BW      |ADS 9537B   | 0.9200| 0.0200| 0.2600| 0.0100|S0|  |42.117.126|W    |                    |227.9588|+61.8615
248.5850|+57.1619|Dra CM      |G 225-67    | 0.2370| 0.0110| 0.2070| 0.0800|S0|  |20.121.029|fl   |dM4e                |248.5850|+57.1619
278.3515|+58.7065|Dra HI      |HD 170153   | 0.8800| 0.0900| 0.6700| 0.0500|S2|  |28.120.007|     |                    |278.3515|+58.7065
278.3515|+58.7065|Dra HI      |HR 6927     | 0.8550| 0.0300| 0.6520| 0.0200|S2|  |27.118.028|     |F7V                 |278.3515|+58.7065
278.3515|+58.7065|Dra HI      |            | 1.0300| 0.0300| 0.7500| 0.0200|S2|  |43.120.007|     |F7V+K0V             |278.3515|+58.7065
263.7483|+61.8746|Dra 26      |ADS 10660   | 1.3000|       | 0.8000|       |V0|  |18.118.015|     |G1V                 |263.7483|+61.8746
318.6201|+10.0070|Equ delta   |HD 202275   | 1.1710| 0.0250| 1.1560| 0.0250|R1|  |25.118.012|     |                    |318.6201|+10.0070
318.6201|+10.0070|Equ delta   |ADS 14773   | 1.1800| 0.0400| 1.1800| 0.0400|S1|  |45.118.016|     |F8V+F8V             |318.6201|+10.0070
318.6201|+10.0070|Equ delta   |HR 812      | 1.2300| 0.0800| 1.2300| 0.0800|S1|  |05.118.030|     |F7V                 |318.6201|+10.0070
070.9410|-10.6822|Eri RZ      |HD 30050    | 1.6800| 0.1000| 1.6200| 0.2000|S0|  |46.117.019|d    |F5IV+K2-5III/V      |070.9410|-10.6822
063.0369|-10.4694|Eri YY      |            | 0.5670|       | 0.9670|       |S0|  |31.117.126|WW   |                    |063.0369|-10.4694
063.0369|-10.4694|Eri YY      |            | 0.6200|       | 1.5400|       |S0|  |41.117.083|     |G5+G5               |063.0369|-10.4694
053.1047|-03.3134|Eri AS      |            | 1.9200| 0.0400| 0.2070| 0.0090|S0|  |10.121.046|sd   |A3V+IV              |053.1047|-03.3134
062.9508|-11.7907|Eri BL      |BD -12 0818 | 0.6100| 0.1100| 0.3300| 0.1000|S0|  |45.117.091|WB:  |G0V+G3              |062.9508|-11.7907
045.9998|-17.7378|Eri CW      |HD 19115    | 1.5900| 0.0200| 1.3300| 0.0100|S0|  |34.119.001|d    |F2V+F2V             |045.9998|-17.7378
063.8205|-07.6652|Eri 40BC    |SIGM 518BC  | 0.4300| 0.0200| 0.1600| 0.0100|V0|  |12.118.001|     |DA+M4Ve             |063.8205|-07.6652
340.3278|-43.8413|Gru W       |HD 214791   | 1.3600| 0.1300| 1.3600| 0.1300|S0|  |44.117.089|d    |F5IV+F5IV           |340.3278|-43.8413
340.3278|-43.8413|Gru W       |HV 3370     | 1.3500| 0.0900| 1.3500| 0.0900|S0|  |11.119.015|d    |F6IV+F6IV           |340.3278|-43.8413
118.7717|+22.0011|Gem U       |            | 1.0300| 0.2500| 0.3600| 0.1000|S0|  |29.117.097|dn   |                    |118.7717|+22.0011
118.7717|+22.0011|Gem U       |            | 0.9700|       | 0.3600|       |S0|  |30.117.013|dn   |                    |118.7717|+22.0011
118.7717|+22.0011|Gem U       |            | 1.1200| 0.1300| 0.5300| 0.0600|S0|  |44.117.252|dn   |                    |118.7717|+22.0011
111.8507|+15.6596|Gem RY      |HD 58713    | 2.3600|       | 0.3800|       |S0|  |43.119.019|Al   |A0V+K0IV            |111.8507|+15.6596
113.6559|+31.8694|Gem YY      |            | 0.5800|       | 0.5800|       |S0|  |02.117.001|     |M1e+M1e             |113.6559|+31.8694
269.4412|+29.2479|Her ksi     |ADS 10157   | 1.4300|       | 0.7800|       |V0|  |30.118.008|     |G0IV+dK0            |269.4412|+29.2479
269.5291|+15.1394|Her Z       |HD 163930   | 1.2300|       | 1.1000|       |S0|  |38.119.038|RS   |F4IV/V+K0IV         |269.5291|+15.1394
269.5291|+15.1394|Her Z       |            | 1.5500|       | 1.4400|       |S0|  |40.119.029|d    |F4IV/V+G0IV         |269.5291|+15.1394
269.5291|+15.1394|Her Z       |            | 1.6100| 0.0700| 1.3100| 0.0300|S0|  |45.117.095|RS   |F5+K0IV             |269.5291|+15.1394
259.3315|+33.1001|Her 68 U    |HD 156633   | 7.9000|       | 2.9000|       |S0|  |13.121.010|sd   |B2.5V+B5            |259.3315|+33.1001
277.6636|+12.6112|Her RX      |HD 170757   | 2.7000| 0.1000| 2.3000| 0.1000|S0|  |21.121.052|d    |B9.5+A1             |277.6636|+12.6112
277.6636|+12.6112|Her RX      |            | 2.7500|       | 2.3300|       |S0|  |02.117.001|     |B9-A0+A0-1          |277.6636|+12.6112
283.3593|+24.2780|Her DI      |HD 175227   | 5.1500| 0.1000| 4.5200| 0.0600|S0|  |31.119.003|     |                    |283.3593|+24.2780
269.6605|+22.1463|Her MM      |HD 341475   | 1.2700|       | 1.1800|       |S0|  |33.119.042|RS   |G2V+K2V             |269.6605|+22.1463
269.6605|+22.1463|Her MM      |BD +22 3245 | 1.2700|       | 1.1800|       |S0|  |44.119.046|RS   |                    |269.6605|+22.1463
269.6605|+22.1463|Her MM      |            | 1.2800| 0.0600| 1.2200| 0.0500|S0|  |46.117.019|d    |K1IV+G2             |269.6605|+22.1463
269.6605|+22.1463|Her MM      |            | 1.2200|       | 1.1900|       |S0|  |05.121.023|d    |G8IV+?              |269.6605|+22.1463
259.6519|+41.8881|Her TX      |HD 156965   | 1.6200| 0.0400| 1.4500| 0.0300|S0|  |04.121.047|     |A5;A8+F0            |259.6519|+41.8881
259.6519|+41.8881|Her TX      |            | 2.0600|       | 1.7800|       |S0|  |02.117.001|     |A5+A8-F0            |259.6519|+41.8881
271.7564|+30.5621|Her 99      |ADS 11077   | 0.9500|       | 0.5200|       |V0|  |41.118.023|     |                    |271.7564|+30.5621
271.7564|+30.5621|Her 99      |            | 0.9000| 0.1000| 0.5900| 0.1000|V0|  |07.118.008|     |F7V                 |271.7564|+30.5621
266.0719|+14.4101|Her V 624   |HD 161321   | 2.2700| 0.0140| 1.8700| 0.0130|S0|  |38.119.006|     |A3p;A4+A7           |266.0719|+14.4101
166.4899|-27.2879|Hya chi^2   |HD 96314    | 3.7100| 0.0800| 2.7100| 0.0500|S0|  |14.121.082|     |B9;B8+?             |166.4899|-27.2879
156.1532|-19.0925|Hya HS      |HD 90242    | 1.3400| 0.0500| 1.2900| 0.0400|S0|  |27.119.059|d    |F3-4+F3-4           |156.1532|-19.0925
183.9000|-25.3933|Hya KM      |HD 79193    | 1.9780| 0.0360| 1.4880| 0.0170|S0|  |37.119.001|d    |A3m                 |183.9000|-25.3933
168.3021|-26.4651|Hya TT      |HD 97528    | 2.6100|       | 0.7000|       |S0|  |30.117.039|Al   |A1V+K1III           |168.3021|-26.4651
168.3021|-26.4651|Hya TT      |CD  -25 8531| 2.5900|       | 0.7000|       |S0|  |45.117.093|Al   |B9.5V+G9-K1III/IV   |168.3021|-26.4651
127.9226|-06.3188|Hya VZ      |BD -5 2564  | 1.2300| 0.0300| 1.1200| 0.0300|S0|  |04.121.005|d    |F4V+F5V             |127.9226|-06.3188
127.9226|-06.3188|Hya VZ      |            | 1.2000|       | 1.1000|       |S0|  |14.121.001|d    |                    |127.9226|-06.3188
124.6978|+00.2834|Hya AI      |BD +0 2259  | 1.9800| 0.0400| 2.1500| 0.0400|S0| 9|45.117.005|d    |F0IV+F2III/IV       |124.6978|+00.2834
324.2073|-70.3335|Ind RS      |            | 2.0000| 0.1500| 0.6200| 0.0500|S0|  |45.117.096|sd/d |                    |324.2073|-70.3335
330.3781|+43.8905|Lac RT      |            | 0.7800| 0.0300| 1.6600| 0.0800|S0|  |41.117.237|RS   |G9IV+K1IV           |330.3781|+43.8905
343.4236|+37.9385|Lac SW      |BD +37 4717 | 1.0300|       | 1.1700|       |S0|  |38.117.108|WW   |G3p+G3p             |343.4236|+37.9385
343.4236|+37.9385|Lac SW      |            | 1.0000|       | 1.1500|       |S0|  |40.117.009|W    |G8V                 |343.4236|+37.9385
343.4236|+37.9385|Lac SW      |            | 0.9600|       | 1.1400|       |S0|  |43.117.012|c    |G3+G1               |343.4236|+37.9385
332.1701|+45.7423|Lac AR      |HD 210334   | 1.4100|       | 1.4200|       |S0|  |30.119.013|RS   |F8V+G9              |332.1701|+45.7423
332.1701|+45.7423|Lac AR      |BD +45 3813 | 1.3200|       | 1.3300|       |S0|  |38.119.053|d    |F8V+G9IV/V          |332.1701|+45.7423
330.0185|+44.5522|Lac CM      |            | 1.8700|       | 1.4700|       |S0|  |02.117.001|     |A2+(A9-F0)          |330.0185|+44.5522
159.5865|+14.2677|Leo UV      |HD 92109    | 0.9900| 0.0400| 0.9200| 0.0400|S0|  |33.119.020|d    |G0V+G2V             |159.5865|+14.2677
159.5865|+14.2677|Leo UV      |            | 0.9900|       | 0.9200|       |S0|  |02.117.001|     |G0-2+G0-2           |159.5865|+14.2677
150.4184|+17.4091|Leo XY      |BD +18 2307 | 0.8700| 0.0400| 0.4400| 0.0200|S0|  |38.117.228|WW   |K0+K0               |150.4184|+17.4091
150.4184|+17.4091|Leo XY      |            | 0.8700| 0.0400| 0.4400| 0.0200|S0|  |39.117.146|c    |K3V;K0+K0           |150.4184|+17.4091
150.4184|+17.4091|Leo XY      |            | 0.5000|       | 0.6300|       |S0|  |22.121.052|WW   |                    |150.4184|+17.4091
225.2431|-08.5189|Lib delta   |HD 132724   | 4.7000| 0.2000| 1.7000| 0.2000|S0|  |26.119.012|sd   |A0V+e.G             |225.2431|-08.5189
225.2431|-08.5189|Lib delta   |            | 4.9000| 0.2000| 1.7000| 0.2000|S0|19|21.121.014|Al   |A0V+e.G             |225.2431|-08.5189
224.9696|-42.9831|Lup FT      |HD 132316   | 1.4300| 0.3600| 0.6100| 0.1400|S0| 1|37.117.126|c    |F2V+K2-5V           |224.9696|-42.9831
224.9696|-42.9831|Lup FT      |BV 851      | 1.4300| 0.2800| 0.6100| 0.1200|S0| 4|41.117.276|WB   |F2V+K6-7            |224.9696|-42.9831
096.6077|+56.2851|Lyn RR      |            | 1.8900| 0.0700| 1.5000| 0.0500|S0|  |18.121.112|d    |A7m+n.F2            |096.6077|+56.2851
288.0203|+46.3241|Lyr FL      |HD 179890   | 1.2180| 0.0160| 0.9580| 0.0110|S0|  |41.119.052|d    |F8V+G8V             |288.0203|+46.3241
082.5579|-84.7851|Men 31 TZ   |HD 39780    | 3.4000| 0.2000| 1.7000| 0.1000|S0|  |29.119.006|d    |A1V+(B9V)           |082.5579|-84.7851
082.5579|-84.7851|Men 31 TZ   |HR 2059     | 2.4870| 0.0250| 1.5040| 0.0100|S0|  |43.119.033|     |A0V+l.AV            |082.5579|-84.7851
105.8262|-05.7376|Mon VV      |BD -5 1935  | 1.4200| 0.1000| 1.5000| 0.0600|S0|  |46.117.019|d    |G0-2+K0IV           |105.8262|-05.7376
105.8262|-05.7376|Mon VV      |            | 1.4200|       | 1.2700|       |S0|  |22.121.010|sd   |K0IV+(F6)           |105.8262|-05.7376
110.2019|-05.2599|Mon AR      |            | 2.6900| 0.1000| 0.8000| 0.0500|S0|  |18.121.007|c    |G8III+K2-3III       |110.2019|-05.2599
106.6513|-04.6235|Mon AO      |BD -4 1822  | 5.5000|       | 5.2000|       |S0|  |17.121.028|d    |B3+B5               |106.6513|-04.6235
095.7561|-03.2770|Mon IM      |HD 44701    | 8.3000| 0.2000| 4.1000| 0.1000|S0|  |21.121.052|d    |B5n+B8n             |095.7561|-03.2770
095.7561|-03.2770|Mon IM      |            | 8.4000|       | 5.5900|       |S0|  |02.117.001|     |B3-5+B7-8.5         |095.7561|-03.2770
118.3323|-03.0420|Mon TU      |BD -2 2331  |12.6000|       | 2.7000|       |S0|  |20.117.026|R    |B5V+F0III           |118.3323|-03.0420
259.1321|+01.2105|Oph U       |HD 156247   | 5.1000| 0.1000| 4.6000| 0.1000|S0|  |21.121.052|d    |B4+B5               |259.1321|+01.2105
259.1321|+01.2105|Oph U       |            | 5.3000|       | 4.6500|       |S0|  |02.117.001|     |B4+B5               |259.1321|+01.2105
259.1321|+01.2105|Oph U       |            | 4.0400|       | 3.8700|       |S0|  |03.121.061|d    |B5V+B5V             |259.1321|+01.2105
281.4432|+07.2201|Oph RZ      |            | 5.6500| 0.2300| 0.7000| 0.0600|S0| 7|42.119.054|d    |F5Ib+K5Ib           |281.4432|+07.2201
271.3637|+02.5001|Oph 70      |BD +2 3482  | 0.8100| 0.0600| 0.7200| 0.0900|R0| b|38.118.048|     |K0V+K0V             |271.3637|+02.5001
271.3637|+02.5001|Oph 70      |ADS 11046   | 0.8100| 0.0500| 0.6400| 0.0400|V0|  |12.118.010|     |K0V+K5V             |271.3637|+02.5001
277.3085|+10.8921|Oph V451    |HD 170470   | 2.7800| 0.0600| 2.3600| 0.0500|S0|  |42.119.053|d    |B9-A0V+?            |277.3085|+10.8921
277.3085|+10.8921|Oph V451    |            | 3.0000|       | 2.6000|       |S0|  |02.117.001|     |A0+A1.5-3           |277.3085|+10.8921
250.3369|+00.5076|Oph V502    |HD 150484   | 0.6300|       | 1.6600|       |S0|  |31.117.126|WW   |                    |250.3369|+00.5076
250.3369|+00.5076|Oph V502    |            | 0.6000|       | 1.4900|       |S0|11|46.119.007|W    |G2+F9               |250.3369|+00.5076
250.3369|+00.5076|Oph V502    |            | 0.5500|       | 1.6200|       |S0|12|46.119.007|W    |G2+F9               |250.3369|+00.5076
250.3369|+00.5076|Oph V502    |            | 0.5000| 0.0600| 1.3500| 0.1600|S0|13|46.119.007|W    |G2+F9               |250.3369|+00.5076
269.2184|+04.9876|Oph V566    |            | 1.4000|       | 0.3300|       |S0|  |40.117.189|WA   |                    |269.2184|+04.9876
081.7093|+03.0957|Ori psi     |            |14.2000|       | 8.6000|       |S0|  |05.117.029|sd   |B0+B0V              |081.7093|+03.0957
083.3810|-01.1561|Ori VV      |            | 7.6000|       | 3.4200|       |S0|22|14.121.032|d    |B1V+(B7)V           |083.3810|-01.1561
083.3810|-01.1561|Ori VV      |            | 7.6000| 0.3000| 3.4000| 0.1000|S0|  |21.121.052|d:   |B1V+B5-9V           |083.3810|-01.1561
256.6627|+07.7827|Oph WZ      |            | 1.1200|       | 1.1200|       |S0|  |02.117.001|     |F8+F8               |256.6627|+07.7827
080.0381|+02.0444|Ori EW      |HD 287727   | 1.1900| 0.0140| 1.1540| 0.0140|S0|  |41.119.052|d    |G0V+G5V             |080.0381|+02.0444
328.0862|+24.0123|Peg AW      |HD 207956   | 2.0000|       | 0.3200|       |S0|  |21.121.002|sd/d |A3-5V+F5IV          |328.0862|+24.0123
356.7853|+26.5666|Peg BK      |BD +25 5003 | 1.2800| 0.0100| 1.4300| 0.0200|S0|  |34.119.001|d    |F8V+F8V             |356.7853|+26.5666
325.0078|+09.1848|Peg EE      |HD 206155   | 2.0100| 0.0600| 1.2900| 0.0300|S0|  |29.119.038|d    |A0;A3V+F6V          |325.0078|+09.1848
000.5423|+27.0823|Peg 85      |ADS 17175   | 0.8200|       | 0.6800|       |V0|  |30.118.008|     |G2V+?               |000.5423|+27.0823
061.7326|+33.4464|Per AG      |HD 25833    | 5.0800|       | 4.4800|       |S0|  |02.117.001|     |B4+B5               |061.7326|+33.4464
061.7326|+33.4464|Per AG      |ADS 2990A   | 4.5300| 0.0700| 4.1200| 0.0600|S0|  |11.121.041|     |B3;B3.4V+B3.5V      |061.7326|+33.4464
059.9362|+48.1512|Per IQ      |HD 24909    | 3.5100| 0.0400| 1.7300| 0.0200|S0|  |40.119.018|     |B8Vp;B7.5+A6        |059.9362|+48.1512
059.9362|+48.1512|Per IQ      |BD +47 920  | 2.6000| 0.3000| 1.5000| 0.2000|S0|  |14.121.089|d    |B8Vp+?              |059.9362|+48.1512
048.3432|+48.1087|Per LX      |BD +47 781  | 1.3300|       | 1.3900|       |S0|  |39.119.085|RS   |G0V+K0IV            |048.3432|+48.1087
048.3432|+48.1087|Per LX      |            | 1.2400| 0.0300| 1.3200| 0.0300|S0|  |46.117.019|d    |G0V+K0IV            |048.3432|+48.1087
017.0962|-55.2458|Phe dzeta   |HD 6882     | 3.8500|       | 2.5100|       |S0|  |44.119.005|     |B6-7V+B8-8.5V       |017.0962|-55.2458
017.0962|-55.2458|Phe dzeta   |BS 338      | 3.8500| 0.2000| 2.5000| 0.1000|S0|  |05.121.029|d    |B7V+B8.5V           |017.0962|-55.2458
017.0962|-55.2458|Phe dzeta   |            | 3.9000| 0.2000| 2.5000| 0.1000|S0|  |04.121.047|     |B8;B6+B9.5          |017.0962|-55.2458
010.4433|-56.5013|Phe ksi     |            | 5.8800|       | 2.8900|       |S0|  |02.117.001|     |B6+B9:              |010.4433|-56.5013
023.1372|-49.5281|Phe AE      |            | 1.4200|       | 0.5500|       |S0|  |40.117.189|WW   |                    |023.1372|-49.5281
017.3925|-46.2656|Phe AI      |HD 6980     | 1.1200| 0.0300| 1.1600| 0.0300|S0|  |38.119.040|d    |F7V+G8-K0IV         |017.3925|-46.2656
017.3925|-46.2656|Phe AI      |CPD -46 120 | 1.1954| 0.0041| 1.2357| 0.0045|S0|  |45.119.028|     |(F7V)+K0IV          |017.3925|-46.2656
348.3491|+02.6754|Psc SZ      |HD 219113   | 1.2800| 0.1000| 1.6200| 0.1000|S0|  |46.117.019|d    |F5+K0IV             |348.3491|+02.6754
348.3491|+02.6754|Psc SZ      |            | 1.8700| 0.0700| 1.3800| 0.0500|S0|  |17.121.038|c    |K1IV+F8V            |348.3491|+02.6754
019.2297|+06.8117|Psc UV      |BD +6 189   | 1.2000|       | 0.9000|       |S0|  |26.119.001|d    |G2V+K0V             |019.2297|+06.8117
119.5602|-49.2449|Pup V       |HD 65818    |17.4000| 0.9000| 9.6000| 0.5000|S0|  |25.117.005|sd   |B1V+B1.5            |119.5602|-49.2449
119.5602|-49.2449|Pup V       |            |17.0000|       | 9.2000|       |S0|  |20.117.026|c    |B1V+B2.5V           |119.5602|-49.2449
117.9429|-13.8980|Pup 9       |HD 64096    | 1.0500| 0.1700| 1.1000| 0.1800|S1|  |45.118.016|     |F9V+G4V             |117.9429|-13.8980
117.9429|-13.8980|Pup 9       |BD -13 2267 | 0.9900| 0.1900| 0.8600| 0.1700|V3|  |13.118.005|     |G1V                 |117.9429|-13.8980
117.9429|-13.8980|Pup 9       |ADS 6420    | 0.6400|       | 0.8100|       |V0|  |02.118.010|     |G1V+?               |117.9429|-13.8980
117.9429|-13.8980|Pup 9       |HR 3064     | 0.5900|       | 0.7300|       |V0|  |12.111.003|     |                    |117.9429|-13.8980
133.0183|-27.4837|Pyx RZ      |HD 75920    | 5.2700| 0.1600| 4.3300| 0.1300|S0|  |44.117.044|c    |B7                  |133.0183|-27.4837
009.1170|-25.6730|Scl RT      |            | 1.6300| 0.1500| 0.7100| 0.0600|S0|  |42.117.194|d/sd |F0+?                |009.1170|-25.6730
358.8191|-31.9215|Scl AL      |HD 224113   | 3.6300| 0.1100| 1.7100| 0.0400|S0|  |43.119.073|d    |B6V+B9V             |358.8191|-31.9215
276.6397|-09.2017|Sct RZ      |            | 7.8000|       | 1.9000|       |S0|  |10.121.061|     |B2.5+B8             |276.6397|-09.2017
252.9676|-38.0474|Sco mu^1    |HD 151890   |12.8000| 1.5000| 8.4000| 1.2000|S0|  |25.117.005|sd   |B1.5V+B3            |252.9676|-38.0474
252.9676|-38.0474|Sco mu^1    |            |13.6000|       | 9.0000|       |S0|  |20.117.026|sd   |B1V+B2.5IV/V        |252.9676|-38.0474
263.6021|-32.5044|Sco V701    |HD 317844   | 9.1000| 0.5000| 9.1000| 0.5000|S0|  |27.117.018|c    |B5                  |263.6021|-32.5044
263.6021|-32.5044|Sco V701    |CPD -32 4606| 8.9000| 0.2000| 8.8000| 0.2000|S0|  |43.117.362|W    |(B2)n;B1-1.5+B1-1.5 |263.6021|-32.5044
263.6021|-32.5044|Sco V701    |            |10.3000| 0.2000|10.3000| 0.2000|S0|  |43.117.362|W    |(B2)n;B1-1.5+B1-1.5 |263.6021|-32.5044
246.1822|-34.8938|Sco V760    |HD 147683   | 4.9800| 0.0900| 4.6200| 0.0700|S0|  |40.119.041|     |B4V+B4V             |246.1822|-34.8938
289.7017|+19.6105|Sge U       |HD 181182   | 5.8000|       | 1.9000|       |S0|  |20.117.026|sd   |B8.5IV/V+G2III/IV   |289.7017|+19.6105
289.7017|+19.6105|Sge U       |            | 5.7000| 0.3000| 1.9000| 0.1000|S0|  |25.119.006|Al   |B8V+G2IV/III        |289.7017|+19.6105
274.4010|-34.1073|Sgr RS      |HD 167647   | 7.3000|       | 2.4000|       |S0|  |43.117.044|Al   |B5V+(A2)V           |274.4010|-34.1073
275.5282|-25.2400|Sgr XZ      |            | 1.8000|       | 0.2600|       |S0|  |11.121.053|Al   |A3+G5               |275.5282|-25.2400
281.9680|-20.2745|Sgr V356    |HD 173787   |12.2000|       | 4.7000|       |S0|  |20.117.026|sd   |B2IV/V+B8II         |281.9680|-20.2745
060.1701|+12.4903|Tau lambda  |HD 25204    | 6.8000|       | 1.8000|       |S0|23|21.121.002|sd   |B3V+A4IV            |060.1701|+12.4903
013.2824|-74.6516|Tuc CF      |HD 5303     | 1.1300| 0.1400| 1.1700| 0.1600|S0|  |30.119.054|R    |G2V+F0(V)           |013.2824|-74.6516
013.2824|-74.6516|            |BV 625      | 1.3000|       | 1.3000|       |S0|  |43.117.215|RS   |F8V+K1IV            |013.2824|-74.6516
004.3396|-71.9158|Tuc AQ      |            | 1.9300| 0.2100| 0.6900| 0.0800|S0|  |42.117.194|WA   |F3/5                |004.3396|-71.9158
165.9320|+61.7510|UMa alpha   |HD 95689    | 1.4100|       | 1.5900|       |V0|  |02.118.040|     |K0II-III+F          |165.9320|+61.7510
145.9395|+55.9525|UMa W       |            | 0.9500|       | 0.6600|       |S0|  |07.121.024|WW   |                    |145.9395|+55.9525
161.3354|+45.5663|UMa TX      |HD 93033    | 6.1000|       | 1.8000|       |S0|  |20.117.026|sd   |B5V+F9III           |161.3354|+45.5663
172.5180|+29.9646|UMa AW      |HD 99946    | 1.2000| 0.4000| 0.1000| 0.0300|S0| 2|39.117.142|WA   |F0-2                |172.5180|+29.9646
172.5180|+29.9646|UMa AW      |BD +30 2163 | 1.7000| 0.3000| 0.2000| 0.3000|S0| 3|39.117.142|WA   |                    |172.5180|+29.9646
135.1599|+41.7829|UMa 10      |BD +42 1956 | 1.1300| 0.2000| 0.8400| 0.1500|V3|  |14.118.005|     |F5V                 |135.1599|+41.7829
135.1583|-51.5556|Vel CV      |HD 77464    | 6.0500| 0.0400| 6.0500| 0.0400|S0|  |14.121.081|     |B3;B2.5V+B2.5V      |135.1583|-51.5556
201.2982|-11.1613|Vir alpha   |            |10.9000| 0.9000| 6.8000| 0.7000|S2|18|05.119.002|     |B1.5IV/V+B3V        |201.2982|-11.1613
209.6036|-01.6608|Vir BH      |HD 121909   | 0.8730|       | 0.8560|       |S0|  |27.117.032|d    |F9V+G2-3V           |209.6036|-01.6608
209.6036|-01.6608|Vir BH      |            | 0.9000| 0.2000| 0.9000| 0.2000|S0|  |37.119.004|d    |F8IV/V+G2V          |209.6036|-01.6608
212.3644|-15.5816|Vir CX      |HD 123660   | 1.0700| 0.1600| 0.3600| 0.0500|S0|14|45.117.034|     |F5+e.K              |212.3644|-15.5816
211.9685|-11.1521|Vir DM      |HD 123423   | 1.4600| 0.0300| 1.4500| 0.0300|S0|  |33.119.024|p.RS |F6-7IV/V+F6-7IV/V   |211.9685|-11.1521
211.9685|-11.1521|Vir DM      |BD -10 3826 | 1.4570| 0.0250| 1.4570| 0.0250|S0|  |38.119.028|d    |F6-7V+F6-7V         |211.9685|-11.1521
290.4129|+25.5748|Vul Z       |HD 181987   | 5.4000|       | 2.3000|       |S0|  |20.117.026|sd   |B2V+A1III           |290.4129|+25.5748
289.4166|+22.4412|Vul RS      |HD 180939   | 4.4000|       | 1.4000|       |S0|  |20.117.026|sd/d |B5V+G6III/IV        |289.4166|+22.4412
315.6079|+27.8073|Vul ER      |            | 1.2100|       | 1.1200|       |S0|  |02.117.001|     |G0+G5               |315.6079|+27.8073
026.4000|-25.0500|ADS 1394    |h 3461AB    | 1.8300|       | 0.8500|       |V0| d|02.118.024|     |F1+G5               |026.4000|-25.0500
036.9250|+04.4333|ADS 1865    |BD +3 339   | 0.4700| 0.2000| 0.3900| 0.2000|V0|  |01.118.010|     |dK6                 |036.9250|+04.4333
039.9750|+00.1500|ADS 2028    |A 1928      | 1.4800|       | 0.5200|       |V0| c|45.118.002|     |G4V                 |039.9750|+00.1500
072.8000|+11.0667|ADS 3475    |Bet 883     | 1.1300| 0.3000| 1.1100| 0.3000|V0|  |02.118.002|     |dF7                 |072.8000|+11.0667
085.7246|-06.7962|ADS 4299AB  |A 494AB     | 0.5000|       | 0.5000|       |V0|  |26.118.017|     |F5V+F6V             |085.7246|-06.7962
099.1000|+27.2833|ADS 5234    |OSIGMA 149  | 1.3000| 0.3000| 1.0000| 0.2000|V0|  |32.118.004|     |G0V+K0              |099.1000|+27.2833
121.0942|+12.2900|ADS 6554    |BD +12 1759 | 0.6300| 0.1000| 0.6300| 0.1000|V0|  |12.118.001|     |K2V                 |121.0942|+12.2900
133.8534|+70.7942|ADS 7067    |BD +71 482  | 0.4900| 0.2000| 0.1500| 0.1000|V0|  |12.118.001|     |K2V+M0V             |133.8534|+70.7942
143.9146|+35.8101|ADS 7441    |Hu 1128     | 1.2000|       | 0.3000|       |V0| c|45.118.002|     |G8V                 |143.9146|+35.8101
155.6860|+15.3456|ADS 7744    |BD +16 2116 | 0.5000| 0.3700| 0.1400| 0.1000|V2|  |19.112.010|     |G5V+K5-9V           |155.6860|+15.3456
