#
#   VizieR Astronomical Server: vizier.u-strasbg.fr 	2009-02-22T00:55:39
#   (replaces the 'Astrores' format originally described at
#    http://vizier.u-strasbg.fr/doc/astrores.htx)
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	-ref=VOTx26086	
#INFO	-out.max=50000	

#RESOURCE=yCat_7161
#Name: VII/161
#Title: Nearby Galaxies (Schmidt+ 1993)
#Coosys	B1950:	eq_FK4 B1950
#Table	VII_161_catalog:
#Name: VII/161/catalog
#Title: The Catalogue
#Column	_RAJ2000	(F6.2)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DEJ2000	(F6.2)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec;meta.main]
#Column	SPB	(I3)	[1/276]+ Running number in order of RA1950	[ucd=meta.id;meta.main]
#Column	Name	(a19)	Name (or comma-separated list of names)	[ucd=meta.id]
#Column	RAB1950	(A7)	Right Ascension B1950 (hours)	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A6)	Declination B1950 (degrees)	[ucd=pos.eq.dec;meta.main]
#Column	HVel	(I4)	[]? Heliocentric velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	Group	(a6)	Group membership	[ucd=meta.code.member]
#Column	i	(I2)	[]? Inclination (face-on, in degrees)	[ucd=src.orbital.inclination]
#Column	BT	(F5.2)	[]? Observed total photoelectric blue mag.	[ucd=phot.mag;em.opt.B]
#Column	logD25	(F5.2)	[]? Logarithm of the angular diameter D25	[ucd=phys.angSize;src]
#Column	IRAS	(a10)	Name of the main infrared source from the IRAS catalogue (1988) (several for more than one possible identification)	[ucd=meta.id.cross]
#Column	logR25	(F5.2)	[]? Logarithm of the axis ratio R25	[ucd=phys.size;arith.ratio]
#Column	logFIR	(F9.2)	[]? Logarithm of the far-infrared-flux (erg/cm2/s)	[ucd=phot.flux;em.IR]
#Column	Name2	(a19)	Alternate name(s)	[ucd=meta.id]
#Column	type	(F4.1)	[]? Morphological type (numerical encoded)	[ucd=src.morph.type]
_RAJ2000|_DEJ2000|SPB|Name|RAB1950|DEB1950|HVel|Group|i|BT|logD25|IRAS|logR25|logFIR|Name2|type
186.56|+48.49|183|MARK209            |12 23.8|+48 46| 281|B5    |27|     | 0.92|          | 0.14|         |HARO29,08-23-035   |
186.77|+37.14|184|U7559              |12 24.6|+37 25| 222|B4    |47|14.20| 1.50|          | 0.20|         |                   |10.0
186.91|+43.49|185|U7577              |12 25.2|+43 46| 197|B4    |48|12.84| 1.63|          | 0.25|         |                   |10.0
187.06|+44.09|186|N4449              |12 25.8|+44 22| 201|B4    |45| 9.99| 1.79|          | 0.15|         |                   |10.0
187.12|+37.24|187|U7599              |12 26.0|+37 31| 280|B4    |58|14.90| 1.30|          | 0.29|         |                   | 9.0
187.17|+35.71|188|U7605              |12 26.2|+35 59| 307|B4    |46|     | 1.06|          | 0.15|         |                   |10.0
187.48|+47.52|189|U7639              |12 27.5|+47 48| 382|B5    |63|     | 1.36|          | 0.15|         |                   |10.0
188.22|+31.54|190|U7698              |12 30.4|+31 49| 333|B4    |48|13.00| 1.81|          | 0.16|         |                   |10.0
189.61|+32.76|191|A1236+33           |12 36.0|+33 02| 309|B4    |44|     | 1.00|          | 0.16|         |06-28-000          |10.0
190.00|+61.61|192|N4605              |12 37.8|+61 53| 145|field |68|10.89| 1.76|12378+6152| 0.42|    -9.11|                   | 5.0
190.55|+38.49|193|I3687              |12 39.8|+38 46| 358|B5    |34|13.71| 1.53|          | 0.05|         |07-26-039          |10.0
191.50|-33.84|194|E381-20            |12 43.3|-33 34| 587|B6    |72|     | 1.47|          | 0.40|         |-06-28-017         |10.0
191.75|+36.48|195|U7949              |12 44.6|+36 45| 334|B5    |48|     | 1.29|12445+3648| 0.12|   -10.45|06-28-030          |10.0
192.61|+28.34|196|U7990              |12 48.0|+28 37| 512|B5    |  |     | 1.00|          | 0.19|         |                   |10.0
192.75|-13.46|197|-02-33-024         |12 48.4|-13 11| 346|field |34|     | 1.04|12483-1311| 0.09|   -10.36|                   |
192.71|+41.11|198|N4736              |12 48.5|+41 23| 309|B5    |34| 8.99| 2.05|12485+4123| 0.09|    -8.43|07-26-058          | 2.0
193.53|+27.15|199|U8024              |12 51.7|+27 25| 378|B5    |39|13.94| 1.48|          | 0.14|         |05-30-120          |10.0
193.92|+19.21|200|F575-3             |12 53.2|+19 29| 419|field |  |     | 1.08|          | 0.33|         |                   |10.0
194.01| +3.81|201|U8055              |12 53.5|+04 05| 618|field |38|     | 0.96|          | 0.10|         |                   |10.0
194.19|+21.68|202|N4826              |12 54.3|+21 57| 410|B5    |57| 9.36| 2.00|12542+2157| 0.27|    -8.68|04-31-001          | 2.0
194.67|+14.21|203|U8091              |12 56.2|+14 29| 214|field |35|14.68| 1.03|          | 0.02|         |02-33-041          |10.0
196.35|-49.47|204|N4945              |13 02.5|-49 12| 561|B6    |84| 9.30| 2.30|13025-4911| 0.72|    -7.43|                   | 6.0
196.46|+37.60|205|I4182              |13 03.5|+37 52| 321|B5    |27|     | 1.78|13033+3752| 0.04|   -10.40|                   | 9.0
196.62|+67.70|206|U8201              |13 04.7|+67 58|  35|B2    |48|12.80| 1.54|          | 0.26|         |11-16-010          |10.0
197.00|+46.82|207|U8215              |13 05.8|+47 05| 218|field |35|     | 1.00|          | 0.14|         |                   |10.0
198.06|+44.03|208|N5023              |13 10.0|+44 18| 409|B5    |90|12.85| 1.78|13095+4418| 0.89|   -10.61|                   | 5.5
198.37|-43.38|209|E269-70            |13 10.6|-43 07|  -8|LG    |  |     | 0.94|          | 0.38|         |                   |-2.0
198.35|+46.32|210|U8308              |13 11.2|+46 35| 165|field |50|     | 1.05|          | 0.26|         |                   |10.0
198.62|+45.92|211|U8320              |13 12.3|+46 11| 196|field |69|12.70| 1.56|13121+4611| 0.42|   -10.81|                   |10.0
198.79|+42.00|212|UA342              |13 12.9|+42 16| 388|field |  |     | 1.20|          | 0.44|         |                   |10.0
198.84|+47.50|213|U8331              |13 13.2|+47 46| 260|field |69|14.60| 1.43|          | 0.46|         |                   |10.0
199.73|-21.05|214|N5068              |13 16.2|-20 47| 673|B6    |22|10.70| 1.86|13161-2046| 0.06|    -9.54|-03-34-046         | 6.0
200.49|-36.63|215|N5102              |13 19.1|-36 22| 451|B6    |71|10.35| 1.94|13191-3622| 0.49|   -10.22|                   |-3.0
201.36|-43.01|216|N5128              |13 22.5|-42 45| 534|B6    |44| 7.84| 2.41|13225-4245| 0.11|    -7.88|CEN A,-07-28-001   |-2.0
201.70|-30.36|217|I4247              |13 24.0|-30 06| 274|LG    |  |     | 1.12|          | 0.42|         |                   |
201.91|-41.48|218|E324-24            |13 24.7|-41 13| 515|B6    |54|     | 1.50|          | 0.13|         |-07-28-000         |10.0
202.39|+58.43|219|N5204              |13 27.7|+58 41| 204|B3    |56|11.73| 1.70|13277+5840| 0.22|    -9.84|                   | 9.0
202.69|+54.91|220|U8508              |13 28.8|+55 10|  63|B3:   |54|     | 1.23|          | 0.22|         |                   |10.0
203.44|-48.16|221|N5206              |13 30.7|-47 54| 577|B6:   |  |     | 1.57|13307-4759| 0.06|   -10.52|                   |-2.5
203.52|+47.91|222|N5229              |13 32.0|+48 10| 364|B3    |84|     | 1.52|          | 0.77|         |                   | 6.7
203.68|+51.61|223|N5238              |13 32.7|+51 52| 234|B3    |37|     | 1.23|          | 0.07|         |09-22-082          | 8.0
204.13|-29.24|224|E444-78            |13 33.7|-28 59| 570|B6:   |68|     | 1.09|          | 0.39|         |                   |10.0
204.26|-29.87|225|N5236              |13 34.2|-29 37| 517|B6    |33| 8.20| 2.11|13342-2933| 0.05|    -7.78|-05-32-050         | 5.0
204.33|-28.05|226|E444-84            |13 34.5|-27 48| 587|B6    |41|     | 1.11|          | 0.13|         |-05-32-000         |10.0
204.42|-42.85|227|N5237              |13 34.7|-42 36| 328|B6:   |  |13.23| 1.29|          | 0.09|         |                   |
204.84|+24.78|228|U8638              |13 37.0|+25 02| 274|field |  |     | 1.08|          | 0.17|         |                   |10.0
204.99|-31.64|229|N5253              |13 37.1|-31 23| 401|B6    |67|10.87| 1.70|13370-3123| 0.41|    -8.86|HARO10,-05-32-060  |10.0
205.08|-28.89|230|I4316              |13 37.5|-28 38| 741|field |  |     | 1.23|          | 0.19|         |                   |10.0
204.97|+40.73|231|U8651              |13 37.7|+40 59| 203|field |58|     | 1.37|          | 0.26|         |                   |10.0
205.14|+55.43|232|U8659              |13 38.7|+55 41|    |B3:   |  |     | 1.00|          | 0.04|         |                   |10.0
205.41|-29.92|233|N5264              |13 38.8|-29 40| 479|B6    |34|12.60| 1.40|          | 0.22|         |D242,-05-32-066    |10.0
206.25|-41.87|234|E325-11            |13 42.0|-41 37| 542|B6    |66|     | 1.43|13419-4135| 0.30|   -10.24|                   |10.0
207.07|-32.25|235|E445-36            |13 45.4|-32 00| 470|B6    |  |     | 0.92|13453-3159| 0.30|   -10.02|                   |
207.33|-36.06|236|E383-87            |13 46.4|-35 49| 330|B6    |33|     | 1.65|13463-3548| 0.09|   -10.07|                   | 8.3
207.71|+38.02|237|U8760              |13 48.7|+38 16| 193|field |72|14.36| 1.34|          | 0.50|         |                   |10.0
208.69|+35.84|238|U8833              |13 52.6|+36 05| 230|field |36|     | 0.96|          | 0.06|         |                   |10.0
208.68|+53.91|239|U8837              |13 52.9|+54 09| 141|B3    |67|13.81| 1.63|13524+5408| 0.51|   -11.04|A13530,09-23-017   | 9.5
209.79|+52.36|240|U8914              |13 57.3|+52 36|    |B3:   |  |     | 1.00|          | 0.00|         |                   |10.0
210.84|-41.39|241|N5408              |14 00.3|-41 09| 509|B6    |54|12.20| 1.21|14002-4108| 0.31|    -9.90|-07-29-006         | 9.7
210.62|+53.91|242|A1400+54           |14 00.7|+54 09| 165|B3    |  |     |     |          |     |         |                   |
210.79|+54.34|243|N5457              |14 01.4|+54 35| 242|B3    |24| 8.31| 2.46|several   | 0.03|    -8.22|VV344,09-23-028    | 6.0
211.27|+53.66|244|N5474              |14 03.3|+53 54| 277|B3    |17|11.28| 1.68|14032-5353| 0.05|   -10.01|09-23-032          | 6.0
211.39|+54.46|245|N5477              |14 03.8|+54 42| 312|B3    |45|14.36| 1.22|14034+5441| 0.10|   -10.80|09-23-034          | 9.0
213.29|-65.33|246|E097-13            |14 09.3|-65 06| 437|field |60|12.10| 1.84|14092-6506| 0.36|    -7.92|                   | 3.0
213.97|+23.05|247|U9128              |14 13.6|+23 17| 155|field |29|14.38| 1.22|          | 0.11|         |                   |10.0
214.95|+56.74|248|N5585              |14 18.2|+56 58| 306|B3    |50|11.20| 1.76|14182+5657| 0.19|   -10.13|                   | 7.0
216.18|+44.52|249|U9240              |14 22.8|+44 45| 154|field |20|13.25| 1.26|14225+4444| 0.00|   -10.93|08-26-030          |10.0
217.01|-46.31|250|A1424-46           |14 24.8|-46 05| 393|B6    |51|     | 1.38|          | 0.44|         |                   |10.0
218.84|+57.25|251|U9405              |14 33.9|+57 28| 222|B3    |52|     | 1.23|          | 0.42|         |                   |10.0
220.87|-44.71|252|A1440-44           |14 40.2|-44 30| 597|B6    |  |     | 1.18|          | 0.40|         |                   | 8.0
225.29|-48.30|253|E223-09            |14 57.7|-48 06| 587|B6    |44|     | 1.41|          | 0.03|         |                   |10.0
227.30|+67.21|254|U9749              |15 08.6|+67 24|-261|LG    |55|     | 2.48|          | 0.20|         |11-18-030          |-5.0
228.56|-46.82|255|E274-01            |15 10.8|-46 38| 520|B6    |90|11.70| 2.04|15108-4637| 0.84|   -10.10|                   | 6.7
245.23|-60.49|256|E137-18            |16 16.6|-60 22| 606|field |74|     | 1.51|          | 0.42|         |                   |10.0
260.05|+57.92|257|U10822             |17 19.4|+57 58|-277|LG    |55|     | 2.55|          | 0.16|         |10-25-008          |-5.0
266.78|-64.64|258|I4662              |17 42.2|-64 37| 308|field |51|11.74| 1.44|17422-6437| 0.23|    -9.38|                   |10.0
267.37|+70.14|259|N6503              |17 50.0|+70 09|  42|field |72|10.91| 1.85|17499+7009| 0.47|    -9.26|                   | 6.0
292.50|-17.68|260|E594-04            |19 27.1|-17 47| -79|LG    |46|     | 1.46|          | 0.13|         |SAGDIG,-03-49-000  |10.0
296.23|-14.80|261|N6822              |19 42.1|-14 55| -58|LG    |53| 9.31| 2.19|19421-1455| 0.06|    -8.56|-02-50-006         |10.0
306.05|+35.85|262|06-45-001          |20 22.3|+35 41|-114|field |  |     | 1.02|20222+3541| 0.18|    -7.87|                   |
308.71|+60.16|263|N6946              |20 33.8|+59 59|  58|field |30| 9.61| 2.06|several   | 0.07|    -8.06|10-29-006          | 6.0
311.71|-12.85|264|D210               |20 44.1|-13 02|-136|LG    |57|14.00| 1.35|          | 0.29|         |-02-53-003         |10.0
313.06|-69.21|265|I5052              |20 47.5|-69 24| 590|field |90|     | 1.77|20473-6923| 0.88|    -9.92|                   | 7.0
326.65|-21.24|266|UA421              |21 43.8|-21 28|    |LG    |  |11.68| 1.72|          | 0.75|         |                   |-5.0
330.66|-51.29|267|I5152              |21 59.4|-51 32| 125|LG    |54|     | 1.72|21594-5132| 0.21|    -9.79|                   |10.0
340.47|-64.42|268|TUC                |22 38.5|-64 41|    |LG    |  |     |     |          |     |         |                   |-5.0
345.40|+12.74|269|A2259+12           |22 59.1|+12 28|-364|LG    |  |     |     |          |     |         |                   |
350.21|-41.73|270|E347-08            |23 18.1|-42 00|  16|LG    |26|     | 1.22|          | 0.08|         |                   | 9.0
351.62|-32.39|271|E407-18            |23 23.8|-32 40|  62|B7a   |18|     | 1.18|          | 0.09|         |-05-55-012         |10.0
352.13|+14.74|272|U12613             |23 26.0|+14 28|-183|LG    |47|13.21| 1.70|          | 0.27|         |02-59-046          |10.0
355.95|-31.96|273|E471-06            |23 41.2|-32 14| 267|B7b   |86|13.60| 1.55|          | 0.75|         |                   | 8.8
358.01|-52.57|274|E149-03            |23 49.4|-52 51| 577|field |90|     | 1.38|          | 0.77|         |                   |10.0
359.47|-32.59|275|N7793              |23 55.3|-32 52| 227|B7b   |45| 9.63| 1.97|23552-3252| 0.17|    -8.87|-06-01-009         | 7.0
000.49|-15.47|276|D221               |23 59.4|-15 45|-123|LG    |65|11.03| 2.06|several   | 0.46|   -10.63|-03-01-015         |10.0

